"Category","Application_Date","Latitude","Longitude"
"SINGLE FAMILY / DUPLEX","03/04/2011","47.65353668","-122.33950232"
"COMMERCIAL","03/04/2011","47.62208508","-122.35399633"
"SINGLE FAMILY / DUPLEX","03/02/2011","47.67583502","-122.36903147"
"SINGLE FAMILY / DUPLEX","02/28/2011","47.64159817","-122.39594365"
"SINGLE FAMILY / DUPLEX","02/28/2011","47.55243381","-122.37396385"
"SINGLE FAMILY / DUPLEX","02/25/2011","47.6754488","-122.37707209"
"SINGLE FAMILY / DUPLEX","02/25/2011","47.52160617","-122.27751819"
"COMMERCIAL","02/24/2011","47.55498721","-122.38741899"
"SINGLE FAMILY / DUPLEX","02/23/2011","47.64208992","-122.34780674"
"SINGLE FAMILY / DUPLEX","02/18/2011","47.67060576","-122.33310206"
"SINGLE FAMILY / DUPLEX","02/16/2011","47.64248676","-122.37230909"
"SINGLE FAMILY / DUPLEX","02/15/2011","47.66228774","-122.27121293"
"SINGLE FAMILY / DUPLEX","02/15/2011","47.62912688","-122.36339778"
"SINGLE FAMILY / DUPLEX","02/04/2011","47.52292717","-122.28452799"
"COMMERCIAL","02/02/2011","47.65984482","-122.34254201"
"COMMERCIAL","02/02/2011","47.65944616","-122.34283491"
"SINGLE FAMILY / DUPLEX","02/02/2011","47.53777754","-122.38805653"
"SINGLE FAMILY / DUPLEX","01/31/2011","47.65300727","-122.35176042"
"SINGLE FAMILY / DUPLEX","01/28/2011","47.67483304","-122.29356167"
"SINGLE FAMILY / DUPLEX","01/19/2011","47.6036877","-122.2952584"
"SINGLE FAMILY / DUPLEX","01/10/2011","47.61268325","-122.28188619"
"MULTIFAMILY","01/25/2011","47.57794006","-122.4083467"
"SINGLE FAMILY / DUPLEX","01/24/2011","47.64115503","-122.36060679"
"SINGLE FAMILY / DUPLEX","01/21/2011","47.71665206","-122.31368872"
"SINGLE FAMILY / DUPLEX","01/21/2011","47.578119","-122.39176398"
"SINGLE FAMILY / DUPLEX","01/14/2011","47.54869485","-122.38013703"
"SINGLE FAMILY / DUPLEX","01/12/2011","47.68356048","-122.35356481"
"SINGLE FAMILY / DUPLEX","01/12/2011","47.60304161","-122.29756457"
"COMMERCIAL","01/11/2011","47.61338199","-122.3159478"
"SINGLE FAMILY / DUPLEX","01/07/2011","47.69825899","-122.29852939"
"SINGLE FAMILY / DUPLEX","01/07/2011","47.53903729","-122.3882895"
"SINGLE FAMILY / DUPLEX","12/30/2010","47.66673465","-122.36933125"
"COMMERCIAL","12/22/2010","47.53471112","-122.32566214"
"SINGLE FAMILY / DUPLEX","12/21/2010","47.54701347","-122.39881349"
"SINGLE FAMILY / DUPLEX","12/16/2010","47.67177963","-122.32704808"
"SINGLE FAMILY / DUPLEX","12/15/2010","47.65059258","-122.36162232"
"SINGLE FAMILY / DUPLEX","12/15/2010","47.60728805","-122.28485108"
"COMMERCIAL","12/07/2010","47.71286908","-122.3363662"
"SINGLE FAMILY / DUPLEX","11/29/2010","47.66722063","-122.26924924"
"SINGLE FAMILY / DUPLEX","11/29/2010","47.70865803","-122.28228149"
"SINGLE FAMILY / DUPLEX","11/19/2010","47.6704908","-122.28418604"
"COMMERCIAL","11/18/2010","47.7049711","-122.28832728"
"INSTITUTIONAL","11/16/2010","47.52472991","-122.27075373"
