"Year","Coordinates: Latitude","Coordinates: Longitude"
"2008","47.69039509","-122.3952278"
"2008","47.60339021","-122.30554017"
"2008","47.67250968","-122.27194181"
"2008","47.68594878","-122.33218928"
"2008","47.57347909","-122.41521736"
"2008","47.63134664","-122.2818474"
"2008","47.63918281","-122.37129946"
"2008","47.66400334","-122.27973517"
"2008","47.58948656","-122.31186855"
"2008","47.55472572","-122.36274557"
"2008","47.56534505","-122.28581201"
"2008","47.63832042","-122.36986001"
"2008","47.56629377","-122.36408862"
"2008","47.62312203","-122.36009364"
"2008","47.7257052","-122.33685276"
"2008","47.68819366","-122.29172489"
"2008","47.63845555","-122.28049204"
"2008","47.64194681","-122.31390131"
"2008","47.54454149","-122.37483959"
"2009","47.64129562","-122.30011315"
"2009","47.69985097","-122.39128524"
"2009","47.66311044","-122.36442743"
"2009","47.64121929","-122.34181307"
"2009","47.62076738","-122.29584179"
"2009","47.59419119","-122.29503425"
"2009","47.67909366","-122.37469852"
"2009","47.59338656","-122.29882856"
"2009","47.56149415","-122.36257949"
"2009","47.61384272","-122.28954629"
"2009","47.56709607","-122.36489874"
"2009","47.64464664","-122.32610372"
"2009","47.54055625","-122.27221255"
"2009","47.61855482","-122.29746991"
"2009","47.61786982","-122.3014668"
"2009","47.58750537","-122.31534349"
"2009","47.58678409","-122.30135976"
"2009","47.54325692","-122.28664627"
"2009","47.69078418","-122.36482363"
"2009","47.68563259","-122.39157374"
"2009","47.66293924","-122.32047948"
"2009","47.51973874","-122.26431984"
"2009","47.66022551","-122.4193545"
"2009","47.62498078","-122.33884523"
"2009","47.62526387","-122.29121181"
"2009","47.61094073","-122.31518721"
"2009","47.62478371","-122.3201731"
"2009","47.57112418","-122.3337076"
"2009","47.60407088","-122.28567106"
"2009","47.51547987","-122.2793364"
"2009","47.68063958","-122.36793009"
"2009","47.68063958","-122.36793009"
"2009","47.69328409","-122.32332459"
"2009","47.65935484","-122.31617091"
"2009","47.64428468","-122.37236988"
"2009","47.55249174","-122.31205093"
"2009","47.64043967","-122.34134826"
"2009","47.57095096","-122.37997423"
"2009","47.58257891","-122.38592709"
"2009","47.6692527","-122.38116732"
"2009","47.61352596","-122.34826743"
"2009","47.63698916","-122.28852294"
"2009","47.58257891","-122.38592709"
"2009","47.58066501","-122.38098205"
"2009","47.61582105","-122.34616655"
"2009","47.64607898","-122.32655481"
"2009","47.64602266","-122.32658489"
"2009","47.64579285","-122.32676602"
"2009","47.64623315","-122.32644085"
"2009","47.60320149","-122.31171536"
"2009","47.64276524","-122.39133785"
"2009","47.53223126","-122.28940175"
"2009","47.58385645","-122.31394091"
"2009","47.66078058","-122.27555209"
"2009","47.67110011","-122.32785168"
"2009","47.63021619","-122.36752031"
"2009","47.63218307","-122.29020791"
"2009","47.63896514","-122.36793661"
"2009","47.55524312","-122.38261482"
"2009","47.71425408","-122.3369027"
"2009","47.59796151","-122.30416437"
"2009","47.59796151","-122.30416437"
"2009","47.66022551","-122.4193545"
"2009","47.67640573","-122.38895144"
"2009","47.71807429","-122.28705152"
"2009","47.55012221","-122.39810256"
"2009","47.66708312","-122.35883316"
"2009","47.66115206","-122.37578568"
"2009","47.60235422","-122.3108082"
"2009","47.62498078","-122.33884523"
"2009","47.55574954","-122.27294858"
"2009","47.70728855","-122.27576607"
"2009","47.68213081","-122.26331566"
"2009","47.66004889","-122.3279638"
"2009","47.62120965","-122.36017358"
"2009","47.58746265","-122.32788596"
"2009","47.64499163","-122.32677383"
"2009","47.53739185","-122.39219692"
