Latitude	Longitude
47.56063803	-122.2923039
47.71896494	-122.29247667
47.59196501	-122.29281446
47.72529397	-122.29308257
47.73124006	-122.29308363
47.56117719	-122.29310015
47.71659051	-122.29312057
47.66185159	-122.29315529
47.57161504	-122.29347773
47.57497612	-122.29348271
47.56185593	-122.29364595
47.71807639	-122.29368055
47.57225792	-122.29385539
47.72453505	-122.29390041
47.62470686	-122.29410006
47.56132448	-122.29419959
47.57852034	-122.29440174
47.5382721	-122.29440632
47.73311523	-122.294408
47.57194553	-122.29456166
47.66254948	-122.29499488
47.5252107	-122.29499902
47.72239375	-122.29518044
47.59384313	-122.29520201
47.72270038	-122.29521288
47.60182284	-122.29527233
47.53872298	-122.29534964
47.57385427	-122.29564562
47.58927823	-122.29567338
47.59489208	-122.29575998
47.57805259	-122.29580676
47.6617231	-122.29599464
47.57317022	-122.29600417
47.73212447	-122.2961773
47.57457986	-122.29622267
47.57497724	-122.29627921
47.57438363	-122.29634138
47.5737079	-122.29635133
47.57276109	-122.29646638
47.61256623	-122.29647666
47.56658387	-122.29657061
47.56708134	-122.29667781
47.60847973	-122.29680067
47.72227195	-122.29685322
47.72130261	-122.29687404
47.60187893	-122.29708555
47.60141416	-122.29728296
47.60146112	-122.29748827
47.61941189	-122.29763449
47.59869482	-122.29774694
47.62045998	-122.29833028
47.66265625	-122.29833522
47.60015107	-122.29841846
47.61934177	-122.29887177
47.59943453	-122.29901406
47.6014644	-122.29927448
47.6014717	-122.29941039
47.60819051	-122.29965679
47.58857365	-122.29987435
47.66673991	-122.29990119
47.61866545	-122.30031092
47.58618184	-122.30060683
47.57954054	-122.30064319
47.58596493	-122.30084743
47.61269306	-122.30099149
47.58619736	-122.30111549
47.66355895	-122.30124485
47.58605747	-122.30137305
47.62046181	-122.30142676
47.62090017	-122.3015607
47.63890867	-122.30157172
47.6131499	-122.30171314
47.59881286	-122.30190204
47.5846519	-122.30190888
47.58495016	-122.30194383
47.61982065	-122.30203134
47.61918048	-122.3022012
47.66440695	-122.30222347
47.59288199	-122.30222506
47.59276383	-122.30231236
47.59243863	-122.30234187
47.66670735	-122.30235375
47.6187597	-122.30237122
47.61267057	-122.30243142
47.59952485	-122.30268553
47.58485685	-122.30271837
47.66659155	-122.30279647
47.61273006	-122.30289527
47.61330272	-122.30317551
47.66142742	-122.30334519
